the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,7/4/2020,47,positive,1/30/2021 18:20
,,11/5/2020,824,positive,1/30/2021 18:20
,,1/2/2021,4345,negative,1/30/2021 18:20
,,3/22/2020,84,positive,1/30/2021 18:20
,,8/6/2020,3611,negative,1/30/2021 18:20
,,7/26/2020,81,positive,1/30/2021 18:20
,,4/2/2020,812,negative,1/30/2021 18:20
,,7/18/2020,2591,negative,1/30/2021 18:20
,,1/11/2021,6796,negative,1/30/2021 18:20
,,6/29/2020,2568,negative,1/30/2021 18:20
,,9/28/2020,145,positive,1/30/2021 18:20
,,6/5/2020,1969,negative,1/30/2021 18:20
,,6/10/2020,2474,negative,1/30/2021 18:20
,,1/17/2021,243,positive,1/30/2021 18:20
,,11/22/2020,511,positive,1/30/2021 18:20
,,4/24/2020,1245,negative,1/30/2021 18:20
,,9/6/2020,50,positive,1/30/2021 18:20
,,12/23/2020,7714,negative,1/30/2021 18:20
,,8/6/2020,142,positive,1/30/2021 18:20
,,3/22/2020,237,negative,1/30/2021 18:20
,,11/17/2020,1082,positive,1/30/2021 18:20
,,5/20/2020,301,positive,1/30/2021 18:20
,,9/12/2020,3589,negative,1/30/2021 18:20
,,10/23/2020,428,positive,1/30/2021 18:20
,,10/5/2020,202,positive,1/30/2021 18:20
,,5/29/2020,2085,negative,1/30/2021 18:20
,,11/10/2020,6690,negative,1/30/2021 18:20
,,8/29/2020,80,positive,1/30/2021 18:20
,,5/2/2020,968,negative,1/30/2021 18:20
,,12/7/2020,6510,negative,1/30/2021 18:20
,,8/15/2020,2967,negative,1/30/2021 18:20
,,4/14/2020,611,positive,1/30/2021 18:20
,,7/30/2020,3581,negative,1/30/2021 18:20
,,3/29/2020,216,positive,1/30/2021 18:20
,,11/28/2020,642,positive,1/30/2021 18:20
,,5/9/2020,120,positive,1/30/2021 18:20
,,9/23/2020,4471,negative,1/30/2021 18:20
,,6/15/2020,117,positive,1/30/2021 18:20
,,11/2/2020,5348,negative,1/30/2021 18:20
,,9/18/2020,4352,negative,1/30/2021 18:20
,,5/14/2020,252,positive,1/30/2021 18:20
,,11/12/2020,8206,negative,1/30/2021 18:20
,,11/27/2020,901,positive,1/30/2021 18:20
,,4/2/2020,366,positive,1/30/2021 18:20
,,7/26/2020,2596,negative,1/30/2021 18:20
,,12/26/2020,400,positive,1/30/2021 18:20
,,12/4/2020,8445,negative,1/30/2021 18:20
,,4/28/2020,1311,negative,1/30/2021 18:20
,,9/2/2020,125,positive,1/30/2021 18:20
,,10/9/2020,220,positive,1/30/2021 18:20
,,5/25/2020,1454,negative,1/30/2021 18:20
,,10/27/2020,403,positive,1/30/2021 18:20
,,5/11/2020,288,positive,1/30/2021 18:20
,,9/21/2020,3766,negative,1/30/2021 18:20
,,5/16/2020,105,positive,1/30/2021 18:20
,,9/16/2020,4387,negative,1/30/2021 18:20
,,11/14/2020,635,positive,1/30/2021 18:20
,,4/6/2020,1102,negative,1/30/2021 18:20
,,8/23/2020,42,positive,1/30/2021 18:20
,,12/19/2020,6453,negative,1/30/2021 18:20
,,4/27/2020,1151,negative,1/30/2021 18:20
,,9/3/2020,120,positive,1/30/2021 18:20
,,11/8/2020,4584,negative,1/30/2021 18:20
,,1/21/2021,496,positive,1/30/2021 18:20
,,6/7/2020,1399,negative,1/30/2021 18:20
,,10/16/2020,292,positive,1/30/2021 18:20
,,10/30/2020,6069,negative,1/30/2021 18:20
,,1/10/2021,4401,negative,1/30/2021 18:20
,,8/4/2020,85,positive,1/30/2021 18:20
,,3/24/2020,618,negative,1/30/2021 18:20
,,12/6/2020,520,positive,1/30/2021 18:20
,,12/30/2020,7127,negative,1/30/2021 18:20
,,7/12/2020,1588,negative,1/30/2021 18:20
,,3/15/2020,15,positive,1/30/2021 18:20
,,6/23/2020,175,positive,1/30/2021 18:20
,,6/15/2020,2267,negative,1/30/2021 18:20
,,6/16/2020,2507,negative,1/30/2021 18:20
,,5/7/2020,1715,negative,1/30/2021 18:20
,,9/25/2020,111,positive,1/30/2021 18:20
,,3/16/2020,35,positive,1/30/2021 18:20
,,7/11/2020,1850,negative,1/30/2021 18:20
,,12/17/2020,578,positive,1/30/2021 18:20
,,12/7/2020,1234,positive,1/30/2021 18:20
,,8/14/2020,130,positive,1/30/2021 18:20
,,4/15/2020,1056,negative,1/30/2021 18:20
,,1/9/2021,6439,negative,1/30/2021 18:20
,,7/6/2020,143,positive,1/30/2021 18:20
,,10/15/2020,250,positive,1/30/2021 18:20
,,5/23/2020,117,positive,1/30/2021 18:20
,,10/11/2020,4741,negative,1/30/2021 18:20
,,6/17/2020,149,positive,1/30/2021 18:20
,,1/18/2021,6747,negative,1/30/2021 18:20
,,1/3/2021,366,positive,1/30/2021 18:20
,,8/9/2020,75,positive,1/30/2021 18:20
,,3/19/2020,154,negative,1/30/2021 18:20
,,4/12/2020,204,positive,1/30/2021 18:20
,,8/17/2020,3057,negative,1/30/2021 18:20
,,12/27/2020,3835,negative,1/30/2021 18:20
,,7/17/2020,176,positive,1/30/2021 18:20
,,3/10/2020,20,negative,1/30/2021 18:20
,,5/21/2020,2266,negative,1/30/2021 18:20
,,9/11/2020,133,positive,1/30/2021 18:20
,,9/29/2020,4374,negative,1/30/2021 18:20
,,6/4/2020,118,positive,1/30/2021 18:20
,,6/28/2020,2071,negative,1/30/2021 18:20
,,5/10/2020,893,negative,1/30/2021 18:20
,,9/22/2020,110,positive,1/30/2021 18:20
,,11/23/2020,7178,negative,1/30/2021 18:20
,,7/27/2020,157,positive,1/30/2021 18:20
,,4/1/2020,985,negative,1/30/2021 18:20
,,12/12/2020,6063,negative,1/30/2021 18:20
,,5/4/2020,467,positive,1/30/2021 18:20
,,8/27/2020,3519,negative,1/30/2021 18:20
,,11/2/2020,536,positive,1/30/2021 18:20
,,11/9/2020,1011,positive,1/30/2021 18:20
,,5/22/2020,243,positive,1/30/2021 18:20
,,10/12/2020,4405,negative,1/30/2021 18:20
,,10/26/2020,5131,negative,1/30/2021 18:20
,,7/5/2020,70,positive,1/30/2021 18:20
,,11/20/2020,9527,negative,1/30/2021 18:20
,,4/14/2020,752,negative,1/30/2021 18:20
,,8/15/2020,88,positive,1/30/2021 18:20
,,8/5/2020,5033,negative,1/30/2021 18:20
,,3/23/2020,169,positive,1/30/2021 18:20
,,12/16/2020,684,positive,1/30/2021 18:20
,,9/7/2020,2044,negative,1/30/2021 18:20
,,4/23/2020,450,positive,1/30/2021 18:20
,,5/6/2020,1889,negative,1/30/2021 18:20
,,9/26/2020,75,positive,1/30/2021 18:20
,,6/13/2020,75,positive,1/30/2021 18:20
,,5/31/2020,60,positive,1/30/2021 18:20
,,10/3/2020,3623,negative,1/30/2021 18:20
,,6/24/2020,152,positive,1/30/2021 18:20
,,1/14/2021,563,positive,1/30/2021 18:20
,,12/31/2020,7297,negative,1/30/2021 18:20
,,12/24/2020,547,positive,1/30/2021 18:20
,,3/23/2020,477,negative,1/30/2021 18:20
,,8/5/2020,195,positive,1/30/2021 18:20
,,1/7/2021,668,positive,1/30/2021 18:20
,,10/29/2020,6427,negative,1/30/2021 18:20
,,3/14/2020,14,positive,1/30/2021 18:20
,,7/13/2020,2520,negative,1/30/2021 18:20
,,1/18/2021,462,positive,1/30/2021 18:20
,,10/10/2020,4656,negative,1/30/2021 18:20
,,5/24/2020,98,positive,1/30/2021 18:20
,,6/6/2020,1325,negative,1/30/2021 18:20
,,9/27/2020,79,positive,1/30/2021 18:20
,,7/2/2020,137,positive,1/30/2021 18:20
,,1/12/2021,8527,negative,1/30/2021 18:20
,,4/28/2020,523,positive,1/30/2021 18:20
,,9/2/2020,4284,negative,1/30/2021 18:20
,,7/25/2020,83,positive,1/30/2021 18:20
,,4/3/2020,1038,negative,1/30/2021 18:20
,,12/18/2020,798,positive,1/30/2021 18:20
,,1/1/2021,4801,negative,1/30/2021 18:20
,,1/26/2021,389,positive,1/30/2021 18:20
,,7/3/2020,97,positive,1/30/2021 18:20
,,10/28/2020,6088,negative,1/30/2021 18:20
,,1/19/2021,552,positive,1/30/2021 18:20
,,3/18/2020,72,positive,1/30/2021 18:20
,,7/9/2020,2903,negative,1/30/2021 18:20
,,4/10/2020,509,positive,1/30/2021 18:20
,,8/19/2020,4174,negative,1/30/2021 18:20
,,12/10/2020,8240,negative,1/30/2021 18:20
,,3/25/2020,703,negative,1/30/2021 18:20
,,8/3/2020,144,positive,1/30/2021 18:20
,,1/14/2021,10187,negative,1/30/2021 18:20
,,5/18/2020,277,positive,1/30/2021 18:20
,,9/14/2020,3628,negative,1/30/2021 18:20
,,10/13/2020,222,positive,1/30/2021 18:20
,,6/11/2020,1860,negative,1/30/2021 18:20
,,10/1/2020,4326,negative,1/30/2021 18:20
,,6/2/2020,114,positive,1/30/2021 18:20
,,11/7/2020,6423,negative,1/30/2021 18:20
,,9/7/2020,29,positive,1/30/2021 18:20
,,4/23/2020,1336,negative,1/30/2021 18:20
,,12/2/2020,7768,negative,1/30/2021 18:20
,,8/19/2020,111,positive,1/30/2021 18:20
,,4/10/2020,990,negative,1/30/2021 18:20
,,11/18/2020,1175,positive,1/30/2021 18:20
,,1/5/2021,807,positive,1/30/2021 18:20
,,5/7/2020,373,positive,1/30/2021 18:20
,,9/25/2020,4714,negative,1/30/2021 18:20
,,10/26/2020,461,positive,1/30/2021 18:20
,,6/20/2020,86,positive,1/30/2021 18:20
,,1/26/2021,6598,negative,1/30/2021 18:20
,,8/30/2020,86,positive,1/30/2021 18:20
,,5/1/2020,1413,negative,1/30/2021 18:20
,,11/21/2020,651,positive,1/30/2021 18:20
,,12/30/2020,665,positive,1/30/2021 18:20
,,7/27/2020,2650,negative,1/30/2021 18:20
,,4/1/2020,446,positive,1/30/2021 18:20
,,4/20/2020,900,negative,1/30/2021 18:20
,,9/10/2020,121,positive,1/30/2021 18:20
,,7/2/2020,2504,negative,1/30/2021 18:20
,,6/14/2020,1503,negative,1/30/2021 18:20
,,6/7/2020,57,positive,1/30/2021 18:20
,,6/25/2020,2388,negative,1/30/2021 18:20
,,1/15/2021,9330,negative,1/30/2021 18:20
,,12/9/2020,1123,positive,1/30/2021 18:20
,,7/30/2020,140,positive,1/30/2021 18:20
,,3/29/2020,615,negative,1/30/2021 18:20
,,12/25/2020,4264,negative,1/30/2021 18:20
,,11/14/2020,5966,negative,1/30/2021 18:20
,,11/1/2020,270,positive,1/30/2021 18:20
,,6/22/2020,2203,negative,1/30/2021 18:20
,,10/23/2020,6900,negative,1/30/2021 18:20
,,9/20/2020,37,positive,1/30/2021 18:20
,,5/12/2020,1417,negative,1/30/2021 18:20
,,1/4/2021,6043,negative,1/30/2021 18:20
,,4/17/2020,974,negative,1/30/2021 18:20
,,8/12/2020,125,positive,1/30/2021 18:20
,,11/30/2020,1253,positive,1/30/2021 18:20
,,5/1/2020,332,positive,1/30/2021 18:20
,,8/30/2020,2815,negative,1/30/2021 18:20
,,9/6/2020,3136,negative,1/30/2021 18:20
,,4/24/2020,476,positive,1/30/2021 18:20
,,11/12/2020,1125,positive,1/30/2021 18:20
,,9/30/2020,181,positive,1/30/2021 18:20
,,6/3/2020,2059,negative,1/30/2021 18:20
,,9/17/2020,91,positive,1/30/2021 18:20
,,5/15/2020,1883,negative,1/30/2021 18:20
,,11/18/2020,8267,negative,1/30/2021 18:20
,,1/11/2021,729,positive,1/30/2021 18:20
,,3/20/2020,137,positive,1/30/2021 18:20
,,8/8/2020,2584,negative,1/30/2021 18:20
,,12/13/2020,360,positive,1/30/2021 18:20
,,11/29/2020,4724,negative,1/30/2021 18:20
,,1/24/2021,2983,negative,1/30/2021 18:20
,,6/11/2020,99,positive,1/30/2021 18:20
,,10/21/2020,430,positive,1/30/2021 18:20
,,7/6/2020,2791,negative,1/30/2021 18:20
,,7/23/2020,189,positive,1/30/2021 18:20
,,3/28/2020,201,positive,1/30/2021 18:20
,,7/31/2020,3518,negative,1/30/2021 18:20
,,12/21/2020,5983,negative,1/30/2021 18:20
,,1/8/2021,686,positive,1/30/2021 18:20
,,7/13/2020,169,positive,1/30/2021 18:20
,,3/14/2020,107,negative,1/30/2021 18:20
,,12/25/2020,162,positive,1/30/2021 18:20
,,12/1/2020,7307,negative,1/30/2021 18:20
,,1/13/2021,592,positive,1/30/2021 18:20
,,7/7/2020,2841,negative,1/30/2021 18:20
,,5/30/2020,75,positive,1/30/2021 18:20
,,10/4/2020,3016,negative,1/30/2021 18:20
,,10/17/2020,4977,negative,1/30/2021 18:20
,,6/14/2020,51,positive,1/30/2021 18:20
,,1/20/2021,4580,negative,1/30/2021 18:20
,,9/8/2020,2770,negative,1/30/2021 18:20
,,4/22/2020,505,positive,1/30/2021 18:20
,,12/14/2020,988,positive,1/30/2021 18:20
,,3/24/2020,178,positive,1/30/2021 18:20
,,8/4/2020,3485,negative,1/30/2021 18:20
,,4/9/2020,439,positive,1/30/2021 18:20
,,8/20/2020,3556,negative,1/30/2021 18:20
,,11/21/2020,7747,negative,1/30/2021 18:20
,,5/19/2020,1811,negative,1/30/2021 18:20
,,9/13/2020,38,positive,1/30/2021 18:20
,,10/25/2020,4110,negative,1/30/2021 18:20
,,10/4/2020,108,positive,1/30/2021 18:20
,,5/30/2020,1646,negative,1/30/2021 18:20
,,11/8/2020,465,positive,1/30/2021 18:20
,,1/27/2021,234,positive,1/30/2021 18:20
,,5/5/2020,420,positive,1/30/2021 18:20
,,8/26/2020,4096,negative,1/30/2021 18:20
,,12/3/2020,1306,positive,1/30/2021 18:20
,,3/31/2020,853,negative,1/30/2021 18:20
,,7/28/2020,129,positive,1/30/2021 18:20
,,1/8/2021,8333,negative,1/30/2021 18:20
,,5/11/2020,1313,negative,1/30/2021 18:20
,,9/21/2020,103,positive,1/30/2021 18:20
,,11/7/2020,491,positive,1/30/2021 18:20
,,6/19/2020,2577,negative,1/30/2021 18:20
,,9/12/2020,60,positive,1/30/2021 18:20
,,5/20/2020,1987,negative,1/30/2021 18:20
,,3/11/2020,6,positive,1/30/2021 18:20
,,7/16/2020,3593,negative,1/30/2021 18:20
,,12/26/2020,4296,negative,1/30/2021 18:20
,,8/3/2020,3087,negative,1/30/2021 18:20
,,3/25/2020,224,positive,1/30/2021 18:20
,,8/8/2020,84,positive,1/30/2021 18:20
,,3/20/2020,153,negative,1/30/2021 18:20
,,7/21/2020,2901,negative,1/30/2021 18:20
,,1/17/2021,4890,negative,1/30/2021 18:20
,,10/20/2020,381,positive,1/30/2021 18:20
,,6/18/2020,144,positive,1/30/2021 18:20
,,5/8/2020,1597,negative,1/30/2021 18:20
,,9/24/2020,120,positive,1/30/2021 18:20
,,10/22/2020,6029,negative,1/30/2021 18:20
,,5/26/2020,245,positive,1/30/2021 18:20
,,10/8/2020,5593,negative,1/30/2021 18:20
,,6/18/2020,2267,negative,1/30/2021 18:20
,,10/29/2020,450,positive,1/30/2021 18:20
,,5/3/2020,138,positive,1/30/2021 18:20
,,8/28/2020,4494,negative,1/30/2021 18:20
,,12/29/2020,6163,negative,1/30/2021 18:20
,,3/28/2020,485,negative,1/30/2021 18:20
,,7/31/2020,140,positive,1/30/2021 18:20
,,11/24/2020,8519,negative,1/30/2021 18:20
,,9/4/2020,3940,negative,1/30/2021 18:20
,,4/26/2020,206,positive,1/30/2021 18:20
,,6/24/2020,2550,negative,1/30/2021 18:20
,,10/13/2020,5200,negative,1/30/2021 18:20
,,1/24/2021,257,positive,1/30/2021 18:20
,,7/20/2020,153,positive,1/30/2021 18:20
,,3/7/2020,6,negative,1/30/2021 18:20
,,1/9/2021,389,positive,1/30/2021 18:20
,,12/16/2020,7813,negative,1/30/2021 18:20
,,12/29/2020,795,positive,1/30/2021 18:20
,,7/9/2020,158,positive,1/30/2021 18:20
,,3/18/2020,308,negative,1/30/2021 18:20
,,9/17/2020,4323,negative,1/30/2021 18:20
,,5/15/2020,274,positive,1/30/2021 18:20
,,1/27/2021,4468,negative,1/30/2021 18:20
,,6/16/2020,116,positive,1/30/2021 18:20
,,10/12/2020,197,positive,1/30/2021 18:20
,,5/22/2020,1959,negative,1/30/2021 18:20
,,9/24/2020,4489,negative,1/30/2021 18:20
,,5/8/2020,275,positive,1/30/2021 18:20
,,1/1/2021,185,positive,1/30/2021 18:20
,,3/30/2020,457,positive,1/30/2021 18:20
,,7/29/2020,3386,negative,1/30/2021 18:20
,,4/9/2020,920,negative,1/30/2021 18:20
,,8/20/2020,125,positive,1/30/2021 18:20
,,12/6/2020,5158,negative,1/30/2021 18:20
